date,Total cases and total deaths (M),Symbol
2020/5/20,5008397,total cases
2020/5/20,331032,total deaths
2020/5/20,1893810,total recovered
2020/5/21,5114997,total cases
2020/5/21,335751,total deaths
2020/5/21,1945030,total recovered
2020/5/22,5221533,total cases
2020/5/22,341018,total deaths
2020/5/22,2053577,total recovered
2020/5/23,5326614,total cases
2020/5/23,344986,total deaths
2020/5/23,2108411,total recovered
2020/5/24,5420782,total cases
2020/5/24,347995,total deaths
2020/5/24,2163938,total recovered
2020/5/25,5507621,total cases
2020/5/25,349194,total deaths
2020/5/25,2227667,total recovered
2020/5/26,5601251,total cases
2020/5/26,353374,total deaths
2020/5/26,2282819,total recovered
2020/5/27,5704043,total cases
2020/5/27,358437,total deaths
2020/5/27,2346146,total recovered
2020/5/28,5822948,total cases
2020/5/28,363053,total deaths
2020/5/28,2413009,total recovered
2020/5/29,5944039,total cases
2020/5/29,367647,total deaths
2020/5/29,2490274,total recovered
2020/5/30,6080995,total cases
2020/5/30,371709,total deaths
2020/5/30,2560724,total recovered
2020/5/31,6187617,total cases
2020/5/31,374692,total deaths
2020/5/31,2637108,total recovered
2020/6/1,6283302,total cases
2020/6/1,377777,total deaths
2020/6/1,2692033,total recovered
2020/6/2,6404720,total cases
2020/6/2,382489,total deaths
2020/6/2,2796145,total recovered
2020/6/3,6519015,total cases
2020/6/3,387924,total deaths
2020/6/3,2875236,total recovered
2020/6/4,6649743,total cases
2020/6/4,393050,total deaths
2020/6/4,2945306,total recovered
2020/6/5,6781099,total cases
2020/6/5,397602,total deaths
2020/6/5,3014471,total recovered
2020/6/6,6915223,total cases
2020/6/6,401455,total deaths
2020/6/6,3086675,total recovered
2020/6/7,7027195,total cases
2020/6/7,404207,total deaths
2020/6/7,3141784,total recovered
2020/6/8,7129785,total cases
2020/6/8,407895,total deaths
2020/6/8,3293395,total recovered
2020/6/9,7254563,total cases
2020/6/9,412720,total deaths
2020/6/9,3375665,total recovered
2020/6/10,7389458,total cases
2020/6/10,417778,total deaths
2020/6/10,3454836,total recovered
2020/6/11,7527334,total cases
2020/6/11,422455,total deaths
2020/6/11,3540715,total recovered
2020/6/12,7655982,total cases
2020/6/12,426668,total deaths
2020/6/12,3620435,total recovered
2020/6/13,7791149,total cases
2020/6/13,430856,total deaths
2020/6/13,3706327,total recovered
2020/6/14,7923625,total cases
2020/6/14,434273,total deaths
2020/6/14,3777146,total recovered
2020/6/15,8043069,total cases
2020/6/15,437692,total deaths
2020/6/15,3857421,total recovered
2020/6/16,8184990,total cases
2020/6/16,444413,total deaths
2020/6/16,3955284,total recovered
2020/6/17,8328152,total cases
2020/6/17,449506,total deaths
2020/6/17,4074115,total recovered
2020/6/18,8468486,total cases
2020/6/18,454471,total deaths
2020/6/18,4155278,total recovered
